iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.619027114	0.5354683162	0.619027114	0.5412929168
1	0.6786047936	0.5213944347	0.6786047936	0.5657307793
2	0.7071945073	0.5047027192	0.7071945073	0.5850237913	3	0.715276887	0.4889308459	0.715276887	0.5986185725
4	0.7293952777	0.4804284235	0.7293952777	0.6119857796
5	0.7350506406	0.4715801254	0.7350506406	0.617096611
6	0.7346734007	0.4702802448	0.7346734007	0.6184411615
7	0.7380538629	0.4677868241	0.7380538629	0.621162141688	0.7472383326	0.4628665234	0.7472383326	0.631739572799	0.7484328801	0.461267762	0.7484328801	0.6332400102110	0.7725874042	0.4363153405	0.7725874042	0.6577486118111	0.7835320419	0.4263170412	0.7835320419	0.6710593006112	0.7871209	0.4230171439	0.7871209	0.6744186047
13	0.7923341892	0.4160598593	0.7923341892	0.6808510638
14	0.7918050132	0.4129810278	0.7918050132	0.6805273834
15	0.7973827609	0.4081408648	0.7973827609	0.6876907421616	0.8025666206	0.3979433401	0.8025666206	0.6938152201717	0.8066308213	0.3879980694	0.8066308213	0.6995401121818	0.8103469746	0.3836564943	0.8103469746	0.703599619	019	0.819274586	0.3769414927	0.819274586	0.7139938712020	0.8175127953	0.3762617521	0.8175127953	0.7119509702121	0.8188008966	0.3725663214	0.8188008966	0.7141028922222	0.8206576804	0.3717205832	0.8206576804	0.7163338452323	0.8261198612	0.3677806035	0.8261198612	0.7228483624	24	0.8262147318	0.3676807216	0.8262147318	0.7230335625	25	0.8262147318	0.3676319987	0.8262147318	0.7230335626	26	0.8262147318	0.3675838424	0.8262147318	0.723033527	027	0.8273181307	0.3664187145	0.8273181307	0.72484528	0.28	0.8270330259	0.3656206511	0.8270330259	0.724229	0.829	0.828500532	0.3646545504	0.828500532	0.725781630	030	0.8286530335	0.3644357508	0.8286530335	0.7257331	0.831	0.8286530335	0.3643740257	0.8286530335	0.7257332	0.832	0.8333081843	0.3587295673	0.8333081843	0.7338533	0.833	0.8426703005	0.3496461814	0.8426703005	0.74434	0.84534	0.8440695259	0.34641172	0.8440695259	0.7461335	0.35	0.8458083755	0.3451718365	0.8458083755	0.74890036	0.36	0.8470241726	0.3424763575	0.8470241726	0.75168837	0.37	0.8469269436	0.3422417796	0.8469269436	0.75149338	0.38	0.8475106526	0.3374369124	0.8475106526	0.75266539	0.39	0.8518941033	0.335730026	0.8518941033	0.757599340	040	0.8520596698	0.3341252592	0.8520596698	0.758998441	041	0.8542276421	0.329260055	0.8542276421	0.7616066742	42	0.8576906152	0.3189906074	0.8576906152	0.7675760743	43	0.8571191444	0.3188971841	0.8571191444	0.76713044	0.44	0.8569810628	0.3183445196	0.8569810628	0.7672045	0.845	0.8587162817	0.3176150647	0.8587162817	0.7693146	0.846	0.8586778925	0.3160386819	0.8586778925	0.7695947	047	0.86290881	0.3085639435	0.86290881	0.7746515908
48	0.8653318303	0.3047537025	0.8653318303	0.7781875659
49	0.8653318303	0.3047409836	0.8653318303	0.7781875659
50	0.8653318303	0.3047282363	0.8653318303	0.7781875659
51	0.8653318303	0.3047230241	0.8653318303	0.7781875659
52	0.8653318303	0.3047202764	0.8653318303	0.7781875659
53	0.8653318303	0.3047197382	0.8653318303	0.7781875659554	0.8653318303	0.304715999	0.8653318303	0.7781875659555	0.8653318303	0.3047080107	0.8653318303	0.7781875659556	0.8653318303	0.3047075575	0.8653318303	0.7781875655757	0.8653318303	0.3047067076	0.8653318303	0.7781875655858	0.8653318303	0.3046963965	0.8653318303	0.7781875655959	0.865729724	0.3042864446	0.865729724	0.7790084388
60	0.8654967271	0.3038775409	0.8654967271	0.7788918206
61	0.8706567114	0.2929354062	0.8706567114	0.7877659574662	0.874888288	0.2882648101	0.874888288	0.7940234792
63	0.8753754399	0.2869783566	0.8753754399	0.7939297125
64	0.8764855772	0.2832275462	0.8764855772	0.7962616822
65	0.8788927221	0.2819440104	0.8788927221	0.8002142475
66	0.8821103939	0.2779466963	0.8821103939	0.8043944266
67	0.8828456738	0.2765182383	0.8828456738	0.8055779026868	0.8852410364	0.2729189786	0.8852410364	0.8080321269	69	0.8851766084	0.2723638496	0.8851766084	0.8090249770	70	0.885031368	0.2717793169	0.885031368	0.8094725511771	0.885031368	0.271774388	0.885031368	0.8094725511
72	0.8849292407	0.2717506781	0.8849292407	0.8092547754
73	0.8844549918	0.2709660701	0.8844549918	0.8093825829
74	0.8888327989	0.2653543296	0.8888327989	0.8134228188
75	0.8918947983	0.2622475674	0.8918947983	0.8180839612
76	0.8916895704	0.261957893	0.8916895704	0.8176438946
77	0.8917921725	0.2619491399	0.8917921725	0.8178638687
78	0.8917921725	0.2619019467	0.8917921725	0.8178638687
79	0.894617876	0.2583520048	0.894617876	0.8227984873
80	0.894483722	0.2583082392	0.894483722	0.8232746955
81	0.894499284	0.2581617023	0.894499284	0.8229251149
82	0.8934207795	0.2565529415	0.8934207795	0.8217473627
83	0.8952668019	0.2562116265	0.8952668019	0.8234341253
84	0.9060946158	0.2429760331	0.9060946158	0.8381158636
85	0.9084801092	0.2344916835	0.9084801092	0.8441168441
86	0.9095283105	0.2339318238	0.9095283105	0.8464275938
87	0.9095283105	0.2339282404	0.9095283105	0.8464275938
88	0.9093184768	0.2335031759	0.9093184768	0.8459644323
89	0.9093184768	0.2334923549	0.9093184768	0.8459644323
90	0.9093123951	0.2334232223	0.9093123951	0.8463434675
91	0.9109998625	0.2292708873	0.9109998625	0.8496839791
92	0.9112202141	0.2271353813	0.9112202141	0.849382716
