iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.5965341534	0.5985876562	0.5965341534	0.513506936
1	0.660237116	0.5672010554	0.660237116	0.5367027677
2	0.6710967505	0.5531642363	0.6710967505	0.5484909457
3	0.6793965123	0.547216439	0.6793965123	0.5597881442
4	0.6887956842	0.5434300518	0.6887956842	0.5663787909
5	0.6839921535	0.5377342724	0.6839921535	0.5686437163
6	0.6867975429	0.5363073354	0.6867975429	0.5707790866
7	0.6951792145	0.5329220634	0.6951792145	0.5710872162
8	0.6956699532	0.5292590856	0.6956699532	0.574833367
9	0.6974147573	0.5274034976	0.6974147573	0.5757392879
10	0.703270316	0.524757135	0.703270316	0.5824929407
11	0.7088865475	0.519716835	0.7088865475	0.5841584158
12	0.7132158301	0.5173428667	0.7132158301	0.5919678715
13	0.7166990303	0.513923792	0.7166990303	0.5951903808
14	0.7227617808	0.511209047	0.7227617808	0.599840891
15	0.7201283349	0.5076399878	0.7201283349	0.5985985986
16	0.7242346539	0.5038422448	0.7242346539	0.6064175467
17	0.7294183704	0.4981230174	0.7294183704	0.60978064
18	0.7286686608	0.4969157541	0.7286686608	0.608975649
19	0.7326236898	0.4948519854	0.7326236898	0.6120568796
20	0.7387323927	0.4930403992	0.7387323927	0.6192771084
21	0.7406575927	0.4894819959	0.7406575927	0.6230038407
22	0.7435421985	0.4857335288	0.7435421985	0.6263402792
