iter	Passed	Remaining
0	34	41647
1	70	41931
2	103	41091
3	138	41099
4	171	40891
5	207	41176
6	240	40723
7	269	39926
8	301	39636
9	338	40060
10	373	40155
11	410	40386
12	443	40264
13	475	40104
14	514	40401
15	548	40395
16	580	40204
17	616	40280
18	646	39979
19	677	39748
20	709	39642
21	746	39781
22	779	39689
23	816	39784
24	853	39908
25	886	39822
26	922	39881
27	957	39870
28	995	39995
29	1028	39902
30	1066	40029
31	1099	39913
32	1138	40063
33	1175	40117
34	1210	40087
35	1244	40045
36	1278	39966
37	1314	39996
38	1350	39997
39	1383	39918
40	1421	39972
41	1456	39949
42	1491	39924
43	1524	39857
44	1561	39879
45	1595	39829
46	1632	39852
47	1667	39803
48	1700	39732
49	1737	39748
50	1773	39742
51	1811	39788
52	1846	39760
53	1884	39784
54	1921	39789
55	1953	39699
56	1986	39624
57	2027	39719
58	2063	39688
59	2095	39598
60	2130	39563
61	2162	39475
62	2194	39388
63	2225	39294
64	2258	39232
65	2291	39165
66	2328	39168
67	2365	39163
68	2404	39200
69	2437	39138
70	2475	39147
71	2510	39125
72	2543	39058
73	2575	38978
74	2611	38958
75	2651	39003
76	2686	38971
77	2723	38961
78	2758	38929
79	2790	38854
80	2824	38817
81	2861	38806
82	2894	38742
83	2932	38745
84	2969	38744
85	3006	38735
86	3040	38684
87	3079	38704
88	3112	38640
89	3150	38650
90	3188	38650
91	3226	38648
92	3265	38663
93	3298	38605
94	3335	38586
95	3370	38553
96	3406	38528
97	3442	38495
98	3478	38474
99	3514	38453
100	3552	38440
101	3587	38407
102	3625	38404
103	3660	38368
104	3697	38350
105	3737	38359
106	3769	38297
107	3803	38245
108	3842	38249
109	3879	38231
110	3914	38190
111	3947	38132
112	3983	38110
113	4019	38079
114	4055	38054
115	4088	37997
116	4123	37959
117	4157	37908
118	4196	37906
119	4233	37893
120	4269	37863
121	4308	37854
122	4345	37841
123	4378	37786
124	4418	37782
125	4456	37773
126	4491	37739
127	4524	37681
128	4560	37653
129	4599	37647
130	4634	37603
131	4668	37557
132	4706	37541
133	4742	37516
134	4781	37506
135	4813	37443
136	4847	37400
137	4882	37360
138	4919	37334
139	4955	37305
140	4993	37290
141	5028	37255
142	5064	37221
143	5098	37175
144	5138	37175
145	5176	37160
146	5212	37124
147	5250	37107
148	5283	37053
149	5315	36995
150	5354	36981
151	5390	36954
152	5429	36941
153	5463	36893
154	5499	36864
155	5534	36822
156	5571	36799
157	5609	36778
158	5644	36741
159	5681	36716
160	5722	36715
161	5759	36691
162	5798	36678
163	5835	36648
164	5874	36634
165	5916	36642
166	5949	36588
167	5985	36552
168	6023	36532
169	6058	36492
170	6095	36465
171	6130	36425
172	6164	36383
173	6200	36350
174	6240	36335
175	6276	36306
176	6315	36286
177	6354	36273
178	6389	36229
179	6427	36209
180	6463	36174
181	6499	36139
182	6535	36107
183	6572	36075
184	6609	36050
185	6650	36042
186	6691	36035
187	6723	35978
188	6758	35938
189	6796	35914
190	6835	35893
191	6873	35869
192	6906	35821
193	6943	35789
194	6977	35748
195	7016	35726
196	7051	35686
197	7088	35655
198	7127	35635
199	7162	35597
200	7200	35570
201	7233	35525
202	7271	35495
203	7309	35471
204	7345	35436
205	7383	35412
206	7415	35356
207	7452	35327
208	7486	35281
209	7523	35254
210	7562	35233
211	7597	35191
212	7629	35139
213	7668	35116
214	7700	35064
215	7736	35029
216	7773	34998
217	7810	34968
218	7847	34937
219	7884	34905
220	7922	34878
221	7956	34837
222	7996	34820
223	8032	34782
224	8069	34750
225	8106	34721
226	8139	34673
227	8176	34643
228	8213	34612
229	8247	34569
230	8288	34553
231	8323	34513
232	8359	34477
233	8393	34433
234	8432	34411
235	8469	34379
236	8506	34347
237	8545	34325
238	8579	34283
239	8618	34258
240	8656	34231
241	8691	34191
242	8723	34139
243	8756	34091
244	8791	34053
245	8829	34026
246	8866	33992
247	8900	33950
248	8939	33925
249	8977	33899
250	9011	33855
251	9048	33825
252	9082	33782
253	9115	33733
254	9154	33710
255	9194	33690
256	9230	33655
257	9264	33612
258	9300	33576
259	9336	33539
260	9370	33497
261	9408	33467
262	9449	33452
263	9486	33417
264	9522	33383
265	9559	33351
266	9596	33316
267	9633	33285
268	9671	33257
269	9705	33214
270	9744	33187
271	9782	33160
272	9820	33130
273	9862	33115
274	9902	33091
275	9937	33051
276	9972	33014
277	10010	32983
278	10049	32958
279	10086	32924
280	10121	32884
281	10158	32853
282	10196	32822
283	10233	32791
284	10273	32767
285	10311	32736
286	10348	32703
287	10382	32660
288	10421	32633
289	10457	32597
290	10492	32559
291	10531	32533
292	10569	32501
293	10604	32463
294	10643	32435
295	10681	32405
296	10720	32378
297	10758	32348
298	10800	32327
299	10838	32299
300	10874	32261
301	10911	32227
302	10946	32190
303	10983	32156
304	11020	32121
305	11054	32080
306	11091	32045
307	11128	32012
308	11163	31972
309	11200	31939
310	11240	31913
311	11275	31874
312	11311	31838
313	11342	31786
314	11380	31758
315	11417	31723
316	11455	31693
317	11492	31659
318	11529	31625
